id,image_width,image_height,box_count,box_size_avg,box_dist_avg,box_normalized_count,box_normalized_count (above average),box_normalized_count (below average),box_normalized_size_avg,box_normalized_dist_avg,normalization_warp_ratio,box_normalized_plus_dist_avg,d_box_norm_above_size,d_box_norm_below_size,d_box_normalized_points_far_distance,risk_level,risk_level,risk_level
1,3436,2376,47,107.7477778,19.84706047,41,3,1,101.5939024,19.84706047,0.088888889,23.68430267,1.869565217,1.869565217,161.4816549,2,3,2.5
2,1920,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2362,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4884,3072,138,107.5648148,12.37612285,75,18,15,87.082,12.37612285,0.305555556,8.035263179,7.298780488,6.558324496,599.43294,2,2,2
5,4032,3024,47,266.5502703,30.80415572,27,5,5,256.3955556,30.80415572,0.27027027,4.738388313,31.28571429,28.6231003,306.6746822,3,3,3
6,1600,1066,1507,13.87669368,0.739144235,405,100,334,11.32753086,0.739144235,0.517282479,4.704383333,5.294242114,4.124379723,2487.291964,4,4,4
7,1584,1153,34,46.575,6.855429732,28,6,0,39.77678571,6.855429732,0.176470588,13.20673336,0,0,0,2,1,1.5
8,3872,2592,14478,12.06259909,0.169475897,6801,1401,2092,12.06303485,0.169475897,0.339323878,1.274922813,1.734865978,1.484306179,12009.69865,3,4,3.5
9,4964,3456,100,156.53464,16.30208333,91,9,0,146.5708132,16.30208333,0.09,7.152896398,0,0,0,2,3,2.5
10,4691,3126,36,228.4616111,34.65179868,31,5,0,192.3030323,34.65179868,0.138888889,19.74467032,0,0,0,2,2,2
11,1555,1037,157,44.47554887,3.606088943,99,22,12,35.19923232,3.606088943,0.255639098,13.33903036,3.243986207,3.016700549,1147.917164,2,2,2
12,4240,2608,532,50.54603659,2.55239628,407,65,20,44.04619165,2.55239628,0.172764228,4.732614862,1.720703125,1.659249442,1525.5426,2,4,3
13,1620,1080,968,19.53864247,0.819974227,509,123,112,15.12907662,0.819974227,0.315860215,2.874843593,2.039193925,1.805360738,2881.812366,3,4,3.5
14,1840,1232,98,51.47633333,7.061875,70,7,7,44.78931429,7.061875,0.166666667,12.81347169,2.927296703,2.748074456,1030.989903,2,2,2
15,3264,2448,2064,19.78116848,0.633148995,1472,256,112,16.49735054,0.633148995,0.2,3.504118577,1.254072746,1.18662988,4907.16532,4,4,4
