id,box_count,box_size,box_dist_avg,risk_level
1,45,107.7477778,281.9068696,2
2,0,0,0,0
3,0,0,0,0
4,108,107.5648148,767.9370911,2
5,37,266.5502703,518.7899917,3
6,839,13.87669368,226.9748498,4
7,34,46.575,127.5867946,2
8,10294,12.06259909,648.5154755,3
9,100,156.53464,753.6276747,2
10,36,228.4616111,682.8904807,2
11,133,44.47554887,250.0863032,2
12,492,50.54603659,643.5234433,2
13,744,19.53864247,257.6343243,3
14,84,51.47633333,284.0982587,2
15,1840,19.78116848,495.9329271,4
16,981,9.89714577,376.511875,3
17,77,42.63766234,470.1802392,2
18,29,83.10275862,333.2877011,2
19,2097,13.23452551,253.611614,4
20,38,67.60921053,652.9826458,2
21,354,49.53858757,452.6040676,3
22,0,0,0,0
23,1037,11.84623529,298.2678632,3
24,137,40.18248175,280.4524217,2
25,121,43.6838843,283.2497355,3
26,176,68.97102273,404.2688234,2
27,295,53.54788136,333.9649227,4
28,161,58.45590062,651.7232421,3
29,210,87.36166667,1215.083222,3
30,230,68.79804348,629.6079438,3
31,49,24.19795918,200.2728022,2
32,0,0,0,0
33,6,155.025,141.1944166,1
34,174,53.21034483,470.0118635,3
35,534,24.45205993,270.0896377,3
36,119,12.93781513,529.3606053,2
37,292,74.66087329,845.8351758,3
38,8,277.386,801.8810714,1
39,603,21.22806799,582.1435008,3
40,143,13.76602797,348.785982,2
41,711,18.91891702,365.3317945,3
42,46,97.47304348,532.4855797,2
43,132,117.3602273,656.848886,3
44,35,123.2228571,636.8785656,2
45,418,68.32380383,1070.688569,3
46,14,129.6964286,255.6816172,2
47,27,67.93518519,312.3742387,2
48,57,81.46359649,195.177672,4
49,749,16.86648865,347.445641,3
50,373,45.97841823,713.4761647,3
51,0,0,0,0
52,174,61.64896552,620.8956008,3
53,100,30.9655,453.857266,2
54,520,14.27298077,288.4967549,3
55,160,10.125625,314.6985849,2
56,108,56.28101852,638.5238575,2
57,191,39.11204188,514.7097314,3
58,118,14.59194915,393.7201928,2
59,858,30.45445338,396.4252663,4
60,384,21.82695313,806.5916974,3
61,21,141.5357143,313.7408217,2
62,87,40.5816092,488.3672013,2
63,329,34.97598784,556.3468641,3
64,95,39.44052632,250.6054676,2
65,341,20.14252199,347.0648571,3
66,13,80.48076923,257.2928874,2
67,9,238.2629274,381.6632326,1
68,953,9.192103882,703.5577895,2
69,48,113.0270833,606.6021166,2
70,332,17.07936747,207.5977897,3
71,202,43.08663366,513.5785388,3
72,171,28.59312865,262.9803393,3
73,195,64.51307692,743.5425155,2
74,228,32.59298246,278.3622838,3
75,36,271.9666667,936.7782857,2
76,161,92.46055901,866.6515435,3
77,232,48.74224138,578.6190064,2
78,489,13.54948875,360.9743942,3
79,215,21.02069767,316.5367505,2
80,1015,16.9055665,689.7042,2
81,77,61.20337662,407.0212167,2
82,603,18.26434494,374.1373979,3
83,142,82.65133803,1015.122605,2
84,55,31.79272727,544.8334018,2
85,25,145.406,960.1055333,1
86,0,0,0,0
87,442,11.67867647,233.3797367,4
88,156,23.71153846,332.2856388,3
89,53,134.3066038,652.9281567,3
90,212,40.68926415,650.3151762,3
91,146,12.21849315,323.9527633,2
92,223,77.92152466,961.8971166,3
93,58,46.07844828,408.8905273,2
94,69,29.58188406,268.3520567,2
95,252,19.57086508,260.7205378,3
96,39,214.0589744,685.3194332,1
97,91,50.42995604,606.1394799,2
98,57,19.06578947,956.4933553,2
99,92,62.83667391,308.3009846,3
100,138,13.55289855,324.7113615,2
101,47,29.99787234,777.2711378,2
102,1889,23.08143197,554.2321487,4
103,0,0,0,0
104,7,756.9642857,618.4489514,1
105,32,105.7421875,359.4911006,2
106,158,43.90474684,259.0866746,3
